pk,source,internal_id,status,submitted_on,accepted_on,last_updated_on,country,region,complainants,respondents,respondent_sector,respondent_parent_company,respondent_supplier,summary,history,external_link,extras
400,Wilmar International,,Closed,9/27/2016,,,,,Greenpeace,"Nabire Baru, a subsidiary of Goodhope, in Nabire, Papua",,,,,"Goodhope has issued a statement immediately after Greenpeace released the report, where Goodhope has committed to continue engagement with Greenpeace, and other external stakeholders (NGOs and professional organization) to carry out a detailed assessment on their project. RSPO has been investigating the social conflict issues since April 2016 when the case was brought to their attention by Yayasan PUSAKA. A joint field verification visit consisting of teams from RSPO, Yayasan Pusaka and Goodhope was conducted from 27 - 28 September 2016. Goodhope has a further meeting with Yayasan Pusaka and Forest Peoples Programme (FPP) on 19 October 2016, and with Greenpeace on 26 October 2016. Wilmar met with Goodhope on 8 November 2016 where Wilmar re-emphasised its Policy and sought clarification and updates on their progress in addressing issues raised in Greenpeace report. Goodhope has publicly reported their progress update on 2 December 2016. RSPO has registered this case as official complaint in December 2016. A meeting was further held with Goodhope on 7 March 2017 to follow up with Goodhope on their progress update, where Goodhope has shared with Wilmar their intention to undertake a threepronged approach to address the issues raised by Greenpeace: (1) to conduct all necessary assessments, including the HCS assessment and detailed soil survey; (2) to develop a robust and stringent Sustainability policy (3) to announce and communicate the policy to their external stakeholders. Another follow up meeting was held with Goodhope on 10 April 2017, where Goodhope shared with Wilmar their progress update and detailed response to a recent Greenpeace Bulletin. Goodhope’s official response is available here. Goodhope has also attended Wilmar’s three-day training workshop focussing on the implementation of Wilmar’s Policy in April 2017. Goodhope officially released their Sustainability Policy on 5 May 2017 and published their progress updates on regular basis. Sustainability Journey - Monthly Update - May 2017 Sustainability Journey - Monthly Update - June 2017 Sustainability Journey - Monthly Update - July 2017 Sustainability Journey - Aug 2017 - Issue No. 4 Sustainability Journey - Sep 2017 - Issue No. 5 Sustainability Journey - Oct 2017 - Issue No. 6 Sustainability Journey - Nov 2017 - Issue No. 7 Sustainability Journey - Jan 2018 - Issue No. 9 Sustainability Journey - Feb 2018 - Issue No. 10 Sustainability Journey - March 2018 - Issue No. 11 Sustainability Journey - April 2018 - Issue No. 12 Sustainability Journey - May 2018 - Issue No. 13 Sustainability Journey - June 2018 - Issue No. 14 Sustainability Journey - July 2018 - Issue No. 15 Sustainability Journey - Aug 2018 - Issue No. 16 Sustainability Journey - Sep 2018 - Issue No. 17 Sustainability Journey - Oct 2018 - Issue No. 18 Sustainability Journey - Nov 2018 - Issue No. 19 Sustainability Journey - Dec 2018 - Issue No. 20 Sustainability Journey - Jan 2019 - Issue No. 21 Sustainability Journey - Feb 2019 - Issue No. 22 Sustainability Journey - Mar 2019 - Issue No. 23 Sustainability Journey - Apr 2019 - Issue No. 24 Sustainability Journey - May 2019 - Issue No. 25 Sustainability Journey - June 2019 - Issue No. 26 Sustainability Journey - July 2019 - Issue No. 27 Sustainability Journey - Oct 2019 - Issue No. 28 Sustainability Journey - Jan 2020 - Issue No. 29 Sustainability Journey - April 2020 - Issue No. 30 Sustainability Journey - June 2020 - Issue No. 31 Sustainability Journey - Sep 2020 - Issue No. 32 Sustainability Journey - Jan 2021 - Issue No. 33",http://www.greenpeace.nl/Global/nederland/report/2016/bossen/Deadly-Trade-off-IOI-Report.pdf,
401,Wilmar International,,Closed,9/15/2015,,,,,Centre for International Policy,"Wai Musi Agro Indah (WMAI), a subsidiary of Wai Musi",,,,,"Dialogue initiated with PT Wai Musi Agro Indah (WMAI) on 16 September 2015. WMAI acknowledged there was a reported alleged case of fire within their concession, which is currently under investigation by the local authority. Wilmar has put on hold purchases from WMAI, where our last purchase in September 2015. PT Wai Musi Agro Indah (WMAI) has fulfilled all their legal obligations in the fire case in May 2017. Together with TFT, Wilmar conducted a field visit from 7 – 11 August 2017 to assess their operation, especially on their fire prevention programme. Based on the positive outcome from the field visit and WMAI’s commitment to continue to strengthen their fire prevention programme. Wilmar will resume business relationship with PT WMAI, following the lifting of the suspension order. A revisit will be conducted by June 2018 to asses WMAI’s progress in closing the gaps identified during the field visit in August 2017.",,
402,Wilmar International,,Closed,9/27/2016,,,,,Greenpeace,"Persada Kencana Prima, a subsidiary of TH Plantations Berhad (THP)",,,,,"Prior to the report being published by Greenpeace, Wilmar has initiated engagement with TH Plantations Berhad (THP) since August 2016, following the Group’s monitoring activity that brought the alleged issues to the Group’s attention. Wilmar met with THP on 10 October 2016, where Wilmar re-emphasised its Policy and sought clarification on the allegations. THP informed that they had ceased land clearing activities for several months for operational reasons. A meeting was further held with the management of THP on 2 June 2017, where the management of THP has agreed to a suspension on further land-clearing while THP review next steps for the said area. Wilmar conducted a joint site visit with TFT to PT Persada Kencana Prima (PKP) from 31 July – 4 August 2017 to assess the situation on the ground and develop an action plan for the area. Wilmar’s team met with THP’s management on 6 November 2017 to share the assessment report. While Wilmar continues to follow up with THP on improvement on their sustainability practices, the moratorium on land clearing is still in place at PT PKP. Through our monitoring, we have detected land use change at PT PKP in early July 2018. THP clarified that the area was originally cleared several years ago but was not planted due to operational constraints. THP claimed that the land use change detected is due the re-stacking of area now that planting is resuming. We have met with THP’s management on 17 July 2018 to seek further details on the re-stacking activities and in the meantime, PT PKP has ceased all stacking activities on the ground. In order to be absolutely clear that there is no violation to the NDPE policies, PT PKP has provided further information requested by Wilmar, ie: time and GPS stamped photographs, drone footages, etc. for Wilmar's further investigation. A meeting was held with the supplier on 12 September 2018 to further discuss the evidences submitted by PT PKP. PT PKP has agreed to hire TFT to conduct assessment of the area of contention, together with Wilmar’s team. A proposed rehabilitation plan will be established if there is indeed new land clearing. The joint field assessment was carried out from 15 – 19 October 2018. According to the verification findings, TFT identified the highest and most immediate priority for PT PKP is to stop the Wood Utilisation Permit (IPK, Ijin Pemanfaatan Kayu) felling activities by PT Usaha Mandiri Sesayap (PT UMS), a logging company that has license to conduct logging, in these IPK areas and the local communities for entire concession area. Should such activities continue, they will be perceived as a risk of deforestation due to the use of heavy machinery to remove the logs. While PT PKP committed not to utilise/plant on the area felled by PT UMS, they are unable to stop the felling activities by PT UMS as PT UMS hold the IPK rights to fell inside PT PKP. Understand the complexity of the issue, Wilmar has bridged a meeting between Aidenvironment and PT PKP in March 2019 and May 2019 to explore possible avenues in addressing the IPK issues. Following the meetings, PT PKP has officially engaged and issued letters to PT UMS in seeking PT UMS to cease all felling activities inside PT PKP. Their engagement yielded positive results and there was no deforestation detected from June 2019 onwards. PT PKP continues to uphold their commitment to cease all activities on the ground. In the meantime, engagement with THP in relation to our re-entry criteria has been triggered since July 2020 in relation to a case in Deru Semangat Sdn Bhd. For more details, please refer to our grievance listing on Deru Semangat Sdn Bhd.",http://www.greenpeace.nl/Global/nederland/report/2016/bossen/Deadly-Trade-off-IOI-Report.pdf,
403,Wilmar International,,Closed,7/21/2017,,,,,Rainforest Action Network (RAN),Ensem Sawita,,,,,"Wilmar has mapped all suppliers who operate mills within a 50-km radius of the Leuser Ecosystem, and engaged directly with all these suppliers to ensure that we have clearly communicated our NDPE Policy requirements to all suppliers who may be at risk of sourcing from illegal or protected areas within the Leuser Ecosystem. Most recently in April 2017, we have also checked and confirmed that all these suppliers, including PT Ensem Sawita (ES) were not sourcing from PT Agra Bumi Niaga (ABN). Following RAN’s latest report, we contacted PT ES for clarifications and were informed that PT ES was not aware that their FFB supplier PT. Putri Hijau was acquired by PT ABN. Therefore, PT ABN’s FFB may have entered PT ES’s supply chain through PT Putri Hijau. Wilmar met with PT ES on 28 July 2017, PT ES informed that they have ceased sourcing from PT ABN since early July 2017 when they were alerted that PT ABN’s fruits had entered their supply chain. PT ES decided not to resume purchase from PT ABN until this FFB supplier has been assessed and implemented the necessary corrective actions as per recommended by an independent assessor. Together with TFT, one of PT ES’s buyers has scheduled a site visit to the operations of PT ES & PT ABN in early August 2017. To avoid duplicating the same assessment, PT ES has agreed to share the assessment report with Wilmar for our deliberation of next course of action. The field assessment report has been shared with Wilmar in October 2017 and we have met with PT ES on 17 November 2017 to follow up with them on their progress. While PT ES is committed to close the gaps identified during the assessment, we continue to monitor their progress, which includes regular physical meetings with PT ES where we will provide support to improve their sourcing practices. Our last meeting with PT ES was conducted on 17 January 2020.",https://d3n8a8pro7vhmx.cloudfront.net/rainforestactionnetwork/pages/17920/attachments/original/1499897185/Leuser_Watch_PT_Agra_Bumi_Niaga_July2017_%281%29.pdf?1499897185,
404,Wilmar International,,Closed,5/6/2015,,,,,Greenomics Indonesia,Mopoli Raya,,,,Alleged clearance of potential High Carbon Stock (HCS) forest by Mopoli Raya in the Leuser Ecosystem.,"Dialogue was initiated with Mopoli Raya on 8 May 2015, while verification of Greenomics report was ongoing. A few more meetings were held thereafter. Wilmar has put on hold purchases, where our last purchase was in 9 July 2015 pending resolution of this matter to Wilmar’s satisfaction. Mopoli Raya had engaged a registered consultant in September 2015 to conduct HCS preliminary study and HCV pre-identification study in 2015 as per Wilmar’s recommendation at PT Aloer Timur. A total area of around 1200 ha as HCS areas was identified and the assessment report was shared with Wilmar in February 2016. Mopoli Raya has committed to adhere to the recommendations made by the consultant and continue to adhere to the moratorium which has been put in place since July 2015. However, based on Wilmar’s ongoing desktop monitoring, land clearing was detected in the HCS areas. PT Aloer Timur clarified that the land clearing was a result of illegal encroachment. Wilmar met with Mopoli Raya on 17 March 2017 and 28 July 2017 to discuss the community encroachment challenges in their concession. Together with Earthworm Foundation (EF), Wilmar conducted two field visits to PT Aloer Timur in December 2017 and April 2018 to verify the situation on the ground. Based on the visits result, it was confirmed that deforestation since 2015 was carried out by external parties who were not part of the local community and had illegally occupied PT Aloer Timur’s land permit area and undertaken illegal logging. Wilmar has agreed to provide assistance to guide PT Aloer Timur in addressing the issues of illegal occupation which contributed to the ongoing deforestation, where Wilmar and EF will carry out a facilitation program at PT Aloer Timur. Through this program, which has commenced since November 2018, Wilmar and EF has planned to visit PT Aloer Timur four times over nine months and at each visit, Wilmar and EF will carry out work to help improving PT Aloer Timur’s capacity and provide strategic guidance to implement the action plan. With the commencement of the facilitation program, Wilmar has resumed business relationship with Mopoli Raya. The first facilitation visit was undertaken on 27 November -3 December 2018, here is the executive summary in English and Bahasa. Building on our NDPE commitment, Wilmar continuously strives to support our suppliers to align their practices with ours towards the journey of compliance. Success stories of Wilmar's re-engagement with Mopoli Raya and another former suspended suppliers can be found here. A video of Mopoli Raya's journey (in English) can be found here.",http://www.greenomics.org/docs/IPOP-Implementation-Report-01_Greenomics.pdf,
405,Wilmar International,,Closed,9/25/2015,,,,,Rainforest Action Network (RAN),"Indofood Agri Resources, a subsidiary of Indofood Group",,,,Alleged forest clearance and involvement in land dispute by Indofood Agri Resources.,"Dialogue initiated with PT Indofood Agri Resources on 28 September 2015. A meeting was further held with the management of the Indofood Group on 26 October 2015, where Wilmar reemphasised its Policy to the Indofood Group and sought clarification from Indofood on the allegations. On 9 June 2016, Wilmar received a new report from RAN on alleged human rights and labour abuses in two oil palm plantations owned by the Indofood Group. Report can be found here. RSPO is investigating the case and has engaged with Indofood and the NGOs who wrote the report. Accreditation Services International (ASI), commissioned by the RSPO, has conducted an assessment on one of Indofood’s plantations in North Sumatra on 18-22 July; and the report is available here. On 11 October 2016, RSPO has filed this case as official complaint. Progress updates is available here. Indofood Agri Resources has officially adopted a “No Deforestation, No Peat, No Exploitation” (NDPE) policy” http://www.indofoodagri.com/misc/Sustainable_Palm_Oil_Policy_2017.pdf in February 2017. Wilmar met with Indofood on 18 July 2017 to follow up on their progress in meeting the policy compliance. Indofood reaffirmed that they will be adopting the HCSA methodology and are fully committed to follow through the RSPO complaint mechanism. Indofood Agri Resource has also attended Wilmar’s three-day training workshop focussing on the implementation of Wilmar’s Policy in 22- 24 July 2017. We understand that the case is still being deliberated by the RSPO and we continue to follow up with Indofood to monitor their progress. Wilmar’s last purchase from Indofood was in June 2017.",https://www.ran.org/new_report_finds_indofood_linked_to_deforestation_climate_pollution_human_rights_abuses_in_indonesia,
406,Wilmar International,,Unknown,2/3/2017,,,,,Rainforest Action Network (RAN),"Koperasi Prima Jasa (KPJ) and its supplier, Agra Bumi Niaga (ABN)",,,,,"Wilmar immediately initiated engagement with Koperasi Prima Jasa (KPJ) when allegations of noncompliance with Wilmar’s Sustainability Policy were brought to our attention. Wilmar has offered its assistance to KPJ to verify the allegations raised by RAN on PT KPJ’s Fresh Fruit Bunches (FFB) supplier, PT. Agra Bumi Niaga’s (ABN) operation in and around the Leuser Ecosystem. KPJ has decided to put on hold purchases from PT ABN. Wilmar’s team conducted a field assessment on PT KPJ during 10 – 11 July 2017, and verified that KPJ has not sourced from PT ABN since February 2017. After the field assessment, we have provided further support to PT KPJ by developing a Support for Transformation Programme (SFT), focussing in improving KPJ’s sourcing practices. Four site visits over a year-long period are planned in this programme, where first SFT visit was conducted from 16 – 20 October 2017.",https://d3n8a8pro7vhmx.cloudfront.net/rainforestactionnetwork/pages/17392/attachments/original/1486495650/RAN_Leuser_Watch_PT_Agra_Bumi_Niaga_20170207.pdf?1486495650,
407,Wilmar International,,Closed,6/12/2017,,,,,Centre for Research on Multinational Corporations (SOMO),"Murini Sam Sam (MSS), a subsidiary of Wilmar",,,,,"Wilmar was made aware of labour rights concerns in our operations at PT Murini Sam Sam in January 2017. We immediately reached out to Konfederasi Serikat Buruh Sejahtera Indonesia (KSBSI), the workers union who organised the meetings for SOMO's researcher with PT MSS’s workers in January 2017. Wilmar met with the Chairman and Secretary General of DPP F Hukatan, as well as the Vice President of KSBSI on 13 January 2017, at KSBSI’s office in Jakarta. At the meeting, we sought to gain more understanding of KSBSI’s field visit and to address any concerns that may have arisen from it. The outcome of the meeting was very positive where Wilmar accepted KSBSI’s proposal to support the union in extending their network in our refinery operations, as well as providing them avenue to provide PPE training to Wilmar’s staff in various locations. On 10 May, Wilmar was given the opportunity to review the draft report from SOMO following their interview with our workers in January. Upon receipt of the draft report content, we immediately conduct internal field verification on the allegations. Based on the outcome of the 2 field verification, we have responded to SOMO, and clarified the allegations and provided input to correct several factually wrong information at the draft report. Please see Wilmar’s detail responses to the draft here. Wilmar has also met with SOMO in Amsterdam on 4 July 2017 to establish direct engagement with CNV, and their research partner, Centre for Research on Multinational Corporations (SOMO). In our ongoing engagements with KSBSI - Hukatan, Wilmar has recently accepted their invitation to speak at their training event on Industrial Relations and Worker’s Right, in Riau, from 16-17 July 2017. Wilmar’s Industrial Relations Manager, Mr. Feberianta Ginting, together with the Head of Industrial Relations Supervision Division of the Manpower Office of Bengkalis Regency, the Head of Social Insurance Administration Organization (Badan Penyelenggara Jaminan Sosial, BPJS) Dumai Branch, and the Head of KSBSI-HUKATAN were the speakers at the training event. Representatives from PT MSS also attended the training sessions to gain more insight on provisions of unions, the national health insurance scheme, as well as national regulations applicable in the field of industrial relation. As of end December 2017, Wilmar has carried out three similar co-training sessions on workers’ rights and improving industrial relations. Wilmar’s ongoing positive engagements with HUKATAN resulted in the establishment of a Collective Labour Agreement (CLA) on 31 October 2017 for our palm oil mill at PT Bumi Pratama Khatulistiwa, where we have adopted the KSBSI-HUKATAN multiple site work agreement template for our workers there. In early 2018, CNV filmed at PT MSS and speak to our workers on camera. The video produced wholly by CNV is available in English and Bahasa Indonesia. In June 2018, Wilmar has published a case Study on how Collective Action with CNV & HukatanKSBSI Makes Positive Impact in Labour Improvements. Wilmar continues its’s constructive engagement with CNV and had a follow up meeting with CNV on 20 June 2018 in Rotterdam to explore further collaboration with the organisation.",https://www.wilmar-international.com/docs/default-source/default-document-library/sustainability/grievance/grievance-case-report/cnvi-0118-palmolie-indonesie-rapport-low-res.pdf?sfvrsn=a1efd317_2,
408,Wilmar International,,Closed,12/19/2016,,,,,Chain Reaction Research (CRR),"Solusi Jaya Perkasa and Dinamika Graha Sarina, subsidiaries of Tunas Baru Lampung Tbk (TBL) from Sungai Budi Group",,,,,"Prior to the release of the CRR report, Wilmar had been made aware of TBL's non-compliance with Wilmar’s Sustainability Policy following the Group’s monitoring activity. Engagement was immediately initiated with the supplier and a further meeting was held with TBL in October 2016, January and May 2017, where we shared the requirements of our NDPE policy. Wilmar managed to secure commitment from TBL to adhere to NDPE policy and to halt further land clearing. However, our internal monitoring detected ongoing land clearing activities. Wilmar’s last purchase from TBL was on February 2018.",https://chainreactionresearch.com/reports/2016-sustainability-benchmark-indonesian-palm-oil-growers/pt-tunas-baru-lampung-tbk-tblaij/,
409,Wilmar International,,Closed,11/11/2014,,,,,Rainforest Action Network (RAN),Multiple Suppliers (Leuser Ecosystem),,,,Alleged threats to the biodiversity of Leuser Ecosystem Potential forest clearance and impacts on biodiversity,"A meeting was held with RAN on 19 November 2014 to discuss the report and understand the issues raised by RAN. Wilmar has identified mills in its supply chain which might be at risk of sourcing fresh fruits bunches (FFB) illegally from the Leuser Ecosystem, and completed a risk assessment on those mills. Following the said risk assessments, dialogues with high priority suppliers commenced and the risk assessment was used to facilitate field assessments with those suppliers with the aim of achieving full compliance with Wilmar’s Policy. This process is known as the Aggregator Refinery Transformation (ART) plan, a collective and regional approach to addressing supplier non-compliance. It is a more effective way to drive transformation and effect real change on the ground; a detailed explanation on our ART plan is available on our website: https://www.wilmar-international.com/sustainability/supply-chain-transformation Progress updates are available here. As part of our ART programme, we have: 1) identified and conducted field assessments on high priority suppliers supplying to our Kuala Tanjung refinery and Paya Pasir kernel crushing plant which included those operating in and around the Leuser Ecosystem. We visited 14 third-party supplier mills and one Wilmar mill in 2015. 2) Consolidated the findings and summarised them into an anonymised report known as the ""Overarching Report"" for sharing with all suppliers supplying into that refinery and kernel crushing plant. The report was uploaded on our website in June 2016: https://www.wilmar-international.com/docs/default-source/default-document-library/highlights/sustainability/2016/07/kuala-tanjung-and-paya-pasir-refinery-overarching-report-english-final.pdf?sfvrsn=30842157_2 3) Shared the findings of the assessments and recommendations on improvements with our suppliers from that region through a workshop, which was held in Medan in October 2016. Wilmar also organised a series of one-day regional-specific trainings in 2017, which were open to all of our suppliers and their suppliers, as well as any interested growers in the region. The trainings were focused on the following topics: I. Environment – land use planning/ management, HCS/HCV, peat management and environmental impact management. II. Fair Labour Practices - Employment Contracts, Child Labour, Access to Remedy, Freedom of Association, Harassment, etc. III Community – Conflict Resolution, FPIC, Land Tenure, Social Impact. On 15 December 2016, Wilmar announced its commitment to addressing the deforestation challenge in the Leuser Ecosystem by becoming part of an existing multi-stakeholder process involving the Aceh Singkil and Aceh Tamiang governments, two districts within the Leuser Ecosystem under the “Areal Prioritas Transformasi (APT)” program. This process was in collaboration with GAR, Musim Mas, as well as Apical, TFT and IDH. More information on Wilmar’s Collaborative Landscape Approach can be found here. In July 2020, we rolled out the Leuser Supplier Reporting Tool (LSRT) to all our direct suppliers operating within the 50km radius of the Leuser Ecosystem, where our suppliers were required to fill in a series of questions related to their operations and sourcing practices. We have also shared the list of high risk plantations operating in the region with these direct suppliers, and sought their response on their exposure to those high risk companies. Suppliers who declined to participate in this programme have already been removed from our supply chain, where we can only resume purchase after they have completed the said questionnaire. So far, all our direct suppliers operating within a 50km radius from the Leuser Ecosystem has confirmed that they are not sourcing from the identified high risk companies within the Leuser Ecosystem. A follow-up webinar has also been conducted for the suppliers and their FFB suppliers on 4 November 2020, to raise their awareness on the importance of protecting the Leuser Ecosystem through NDPE commitments. Apart from Wilmar, key speakers included Mr. M. Daud, S. Hut as Head of Protection and Conservation of Natural Resources, Environmental Service (Kabid Perlindungan dan Konservasi Sumber Daya Alam, Dinas Lingkungan Hidup), Mr. Rudi Putra, Advisor of Forum Konservasi Leuser, and a representative from a FMCG company. Our supplier, PT Mopoli Raya who operates in the same landscape also took the opportunity to present their on the ground NDPE implementation journey.",https://d3n8a8pro7vhmx.cloudfront.net/rainforestactionnetwork/pages/2729/attachments/original/1415727943/Last_Place_On_Earth_Report_Nov2014.pdf?1415727943,
410,Wilmar International,,Closed,11/11/2015,,,,,NGO Coalition,Empresa Reforestadora de Palma de Petén SA (REPSA),,,,,"Prior to the issue being officially raised by a coalition of NGOs on 11 November 2015, Wilmar has initiated a few rounds of dialogues with REPSA’s management a month before, following the Group’s media monitoring activity that brought the alleged issues to the Group’s attention. The Forest Trust (TFT) conducted an assessment of the REPSA mill and a representation of the mills’ supply base from 16 –21 November 2015. A follow-up visit took place in April 2016 where TFT met with REPSA’s executive management to discuss the development of an action plan to address the issues identified in the field visit. REPSA submitted to Wilmar a detailed time-bound action plan which they have published a summary on their website. In addition, REPSA also announced two important policies: 1) zero tolerance on violence and intimidation and 2) responsible palm oil production. Both had undergone public consultation. Wilmar’s key recommended action points to REPSA can be found here. Wilmar met with the REPSA management on 24 August 2016 again for updates on the allegations of river pollution and kidnapping, as well as to review the progress of their action plan. REPSA confirmed that there are still no formal charges filed against them concerning both allegations. In particular, the governmental investigation relating to the river pollution allegation is still ongoing, with no clear timeline. REPSA has shown progress on the following fronts: a) the adoption of zero tolerance on violence policy and responsible palm oil production policy; b) engagement with NGOs; c) publication of summary action plan; d) publication of first progress report in September 2016. In late 2016, TFT and the Consensus Building Institute (CBI) visited Sayaxché in Guatemala to jointly carry out a social-scoping exercise to assess the willingness of local stakeholders to participate in a participatory process for dialogue and resolution. A second visit was conducted in February/ March 2017 to socialise the results of the social scoping exercise with the local stakeholders. REPSA appreciated the views, insights and recommendations presented, and have committed to considering collaborations with stakeholder groups to address them, where relevant. Links to the Scoping Report and Addendum . REPSA released their second action plan progress report in February 2017. On 21 April 2017, Wilmar received a letter from a coalition of NGOs, alleging that REPSA has disrupted a meeting convened by the International Observer Mission for Human Rights in November 2016, and that a police report on the alleged incident has been filed. We immediately sought clarification from REPSA who informed that they were not aware of and not responsible for the happenings. Nonetheless, REPSA committed to fully cooperate with the authorities in the investigation of this case – see REPSA’s response here. On 17 May 2017, REPSA released their third and final progress report on the Year 1 Action Plan. TFT conducted another monitoring field visit from 8 May 2017 to 12 May 2017 to assess their progress on key activities stipulated in the 12-month Action Plan. The final 12 -month monitoring report can be found here. By taking into consideration of the recommendations from the 12-month monitoring report, feedback from REPSA clients, and priorities identified by several key stakeholders, REPSA has drafted an 18-month action plan (July 2017 – December 2018) to guide their next steps. The four short-term outcomes that REPSA are focussing, including: 1) Reach a credible, mutually-agreed upon resolution to the 2015 kidnapping incident, 2) Reach a credible, mutually-agreed upon resolution to the November 2016 allegations of intimidation, 3) Develop a Year 2 Action Plan that incorporates stakeholder input and has active stakeholder buy-in and support, and 4) In consultation with local organizations and communities, develop a detailed participatory roadmap for advancing stakeholder engagement. Although REPSA has begun implementing this new 18th-month action plan, they continue to seek input from local stakeholders to improve the action plan and priorities. In the meantime, they are also exploring opportunities to seek key stakeholder’s participation in monitoring their progress.The first 4-month progress report on the 18-month action plan, including the above mentioned short-term outcomes, is expected to be published in November 2017. Wilmar has also been closely in contact with several NGOs who has signed the joint letter, with the aim to bring transparency in the process and improve communication between different parties involved. Wilmar has been actively engaging with REPSA in seeking resolution to the grievances, our recent meetings with REPSA was on 4 October 2017, in Guatemala and 27 November 2017, in Bali. While REPSA has made progress in improving their practices, they have not met our expectations in meeting the agreed time bound action plan. Therefore, Wilmar has decided to put on hold purchases from REPSA, where our last purchase was in December 2017. In the meantime, Wilmar continues to engage and support REPSA in the journey towards the grievance resolution and the implementation of their sustainability policies. REPSA has also published their Sustainability Plan and updated progress report regularly on their website. Latest reports are as follow: Sustainability Action Plan 2022 Sustainability Dashboard Report 1 - 2021 Sustainability Dashboard Report 2 - 2021 Sustainability Dashboard Report 3 - 2021 Sustainability Plan 2021-2025 Sustainability Plan 2020 Progress Report Q3 2020 Progress report Q2 2020 Progress report Q1 2020 We note that REPSA has made substantial progress in implementing its sustainability plan, as well as significant attempts to increase stakeholder interaction with those who lodges grievance and other parties with an interest in REPSA’s operations. This includes but not limited to:- Developed and implemented policies that commits to non-retaliation against HRDs and grievance raisers and protect HRDs and grievance raisers who submit a complaint in good faith Action plan on Sustainability related matter for specific department has also been developed for Human Resources, Occupational Health & Security, Community Relations Repsa has constantly been through evaluations, audits and due diligence by independent actors in sustainability and Human Rights Engagement with various human rights defenders, civil society advocates and organisations by participating in various types consultations Based on the detailed review of documentation, reports and commitment from Repsa, the Wilmar Suspension Committee has given due consideration of this progress and lifted the suspension of Repsa in May 2022.",https://d3n8a8pro7vhmx.cloudfront.net/rainforestactionnetwork/pages/14965/attachments/original/1447228248/REPSAltrtotraders.11.10.15.final.webversion.pdf?1447228248,
411,Wilmar International,,Closed,2/7/2017,,,,,NGO Coalition,"Myanmar Stark Prestige Plantation (MSSP), a subsidiary of the Samling Group",,,,,"Wilmar immediately initiated engagement with the Samling Group when allegations of noncompliance with Wilmar’s Sustainability Policy were brought to our attention. Further meetings were held with Samling Group on 6 March 2017 and 15 May 2017, where they clarified its position on the allegations that are backed with relevant supporting documents about their operation in Myanmar. Moratorium on land clearing activities at their Myanmar operation was imposed since February 2017, and the company has engaged assessor to conduct the relevant assessments to assess the condition of MSSP. Samling has divested MSSP in end 2018/early 2019. Through our own monitoring and due diligence, we have also initiated discussion with Samling on their operation in Indonesia, Malaysia and Papua New Guinea (PNG) since August 2017.We understand that Samling was in the process of divesting their PNG concession (The Ome-Ome Project) in 2017, and the divestment process has officially completed in early 2018. Samling has also committed to a moratorium on land clearing activities in their Malaysia and Indonesia operation. All the relevant assessments has to be conducted prior resuming their land clearing for palm planting in the future. In December 2017, through our internal monitoring, we have detected land use change at in one of their Malaysian sites in Sarawak. Samling clarified that there was no land clearing activities. To gain further insight, Wilmar conducted a site visit to check on the allegation in end March 2018. During the field assessment,we verified that there was no breach of Wilmar’s NDPE policy. Specifically, we have identified: 1. Location of area which was identified as deforestation in the NGO report is an area which is a mature planted forest of with Acacia sp. mix with Eucalyptus sp. 2. The existing Acacia sp. and Eucalyptus sp. trees were recently harvested and is currently undergoing replanting with the same two species. 3. During the visit, no sign of new oil palm development was found in the areas designated for Acacia sp. and Eucalyptus sp. tree plantation. To enable Wilmar to conduct ongoing monitoring on Samling's group wide palm operation, we have requested several documentations from Samling and will continue to follow up with Samling accordingly. Our last purchase was in January 2020.",https://www.wilmar-international.com/docs/default-source/default-document-library/sustainability/grievance/grievance-case-report/green-desert-final.pdf?sfvrsn=53a34e03_2,
